key,operator,year,private,state,regulated,fare_income_million,other_income_million,total_income,staff_costs_millions,diesel_costs_millions,rolling_stock_costs,other_costs,total_costs,subsidy,net_total,ftee,avg_staff_cost_per_staff,passenger_km_billions,passenger_journeys_millions,train_km_millions,route_km,vehicle_km_millions,LEN,stations_managed,age_rollingstock,mean_routekm,mean_trainkm_millions,mean_vehiclekm_millions,mean_avgstaffcost,mean_passkm_million,mean_agers,mean_tc,mean_LEN,ROUTE,TDEN,TLEN,logtc,INP,TDEN2,STATI2,TLEN2,TIME,TIME2,DENSTATI,TDENLEN,STATILN,LFAC,LNAGE,efficiencyu_score,efficiency_score,frontier_output,bigT,yearT,covid
6,East_Midlands,2015,0,0,1,474.25,61.82,536.07,127.01,45.84,40.52,194.77,408.15,-94.84,33.08,2150,59075.17,2.39,26.11,22.97,1550,110.21,5,89,24.3,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,7921,0,1,1,57,0,130,0,0,0,0,0,2023,-8,0
6,East_Midlands,2016,0,0,1,488.23,60.68,548.91,135.03,35.19,46.11,213.66,429.98,-90.12,28.81,2262,59693.42,2.44,26.83,23,1550,109.8,5,89,23.2,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,7921,0,2,4,67,0,91,0,0,0,0,0,2023,-7,0
6,East_Midlands,2017,0,0,1,487.14,59.91,547.05,137.64,35.02,45.76,225.78,444.21,-77.67,25.17,2352,58522.3,2.45,27.19,22.97,1550,108.96,5,90,25.13,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,8100,0,3,9,58,0,41,0,0,0,0,0,2023,-6,0
6,East_Midlands,2018,0,0,1,481.61,61.94,543.55,151.88,42.61,48.78,240.23,483.51,-29.91,30.13,2460,61740.36,2.42,26.73,22.79,1550,109.08,5,90,26.17,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,8100,0,4,16,-4,0,112,0,0,0,0,0,2023,-5,0
6,East_Midlands,2019,0,0,1,452.87,62.77,515.64,161.14,41.95,59.4,254.14,516.63,33.38,32.39,2441,66028.62,2.25,25.39,22.42,1550,107.36,5,90,28.76,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,8100,0,5,25,-137,0,116,0,0,0,0,0,2023,-4,0
6,East_Midlands,2020,0,0,1,71.15,35.51,106.65,159.71,33.58,76.32,244.74,514.36,424.32,16.61,2504,63780.24,0.41,5.07,19.17,1550,89.98,5,90,23.39,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,8100,0,6,36,-1407,0,-45,-1,0,0,0,0,2023,-3,1
6,East_Midlands,2021,0,0,1,265.15,38.78,303.93,146.04,29.33,70.22,294.76,540.35,241.76,5.34,2294,63660.06,1.49,18,22.92,1502,104.63,5,102,21.91,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,10404,0,7,49,382,0,-348,0,0,0,0,0,2023,-2,0
6,East_Midlands,2022,0,0,1,354.69,25.59,380.29,143,32.62,61.04,260.96,497.62,122.33,5,2410,59344.4,2.2,25.55,22.73,1490,107.31,5,102,22.02,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,10404,0,8,64,376,0,-1,0,0,0,0,0,2023,-1,0
6,East_Midlands,2023,0,0,1,400.31,26.22,426.53,146.53,34.46,66.85,256.1,503.94,86.33,8.93,2454,59713.93,2.4,28.94,23.8,1490,109.79,5,102,22.81,1531,23,106,61284,2,24,482,5,0,0,0,0,0,0,10404,0,9,81,853,0,-239,0,0,0,0,0,2023,0,0
7,Elizabeth_Line,2015,0,0,1,92.84,9.73,102.56,27.01,0,18.72,59.46,105.18,6.88,4.26,659,40981.17,0.5,37.47,2.33,32,18.44,8,12,36.25,80,6,49,71729,1,17,363,8,-1,0,0,-1,-1,0,144,0,1,1,-5,0,-6,0,1,0,0,-1,2023,-8,0
7,Elizabeth_Line,2016,0,0,1,108.12,18.33,126.45,42.5,0,21.63,76.7,140.83,17.31,2.93,754,56372.17,0.57,44.61,2.7,32,21.49,8,12,35.75,80,6,49,71729,1,17,363,8,-1,0,0,-1,0,0,144,0,2,4,16,0,-5,0,1,0,0,-1,2023,-7,0
7,Elizabeth_Line,2017,0,0,1,105.72,24.31,130.03,54.36,0,15.33,94.28,163.97,38.36,4.43,1084,50148.04,0.53,42.38,2.82,59,22.19,8,24,23.63,80,6,49,71729,1,17,363,8,0,0,0,-1,0,0,576,0,3,9,-250,0,-30,0,0,0,0,-1,2023,-6,0
7,Elizabeth_Line,2018,0,0,1,125.33,55,180.33,75.14,0,32.8,213.9,321.84,147.66,6.16,1401,53630.46,0.64,51.29,3.83,60,29.16,8,24,18.87,80,6,49,71729,1,17,363,8,0,0,0,0,0,0,576,0,4,16,-83,0,-48,0,0,0,0,0,2023,-5,0
7,Elizabeth_Line,2019,0,0,1,143.57,68.71,212.28,118.64,0,85.94,249.17,453.76,251.61,10.13,1515,78298.65,0.71,55.51,5.01,99,34.99,7,24,8.86,80,6,49,71729,1,17,363,8,0,0,0,0,0,0,576,0,5,25,-219,0,-98,0,-1,0,0,0,2023,-4,0
7,Elizabeth_Line,2020,0,0,1,49.6,41.07,90.67,110.07,0,25.7,293.65,429.42,348.04,9.29,1425,77233.8,0.22,18.03,6.19,99,46.22,7,24,8.42,80,6,49,71729,1,17,363,8,0,0,0,0,0,0,576,0,6,36,-98,0,-59,-1,-1,0,0,0,2023,-3,1
7,Elizabeth_Line,2021,0,0,1,107.75,52.65,160.39,118.04,0,85.6,316.39,520.03,364.17,4.54,1255,94026.04,0.46,37.37,8.34,99,70.29,8,24,7.32,80,6,49,71729,1,17,363,8,0,0,0,0,0,0,576,0,7,49,74,0,10,-1,-1,0,0,0,2023,-2,0
7,Elizabeth_Line,2022,0,0,1,331.63,23.07,354.7,129.89,0,69.53,329.76,529.19,175.3,0.81,1277,101709.25,1.39,143.15,10.07,118,90.26,9,29,6.59,80,6,49,71729,1,17,363,8,0,0,0,0,0,0,841,0,8,64,117,0,67,0,-1,0,0,0,2023,-1,0
7,Elizabeth_Line,2023,0,0,1,605.98,15.25,621.23,119.9,0,80.1,407.25,607.24,91.04,105.03,1287,93159.89,2.16,220.27,11.82,118,106.49,9,27,7.59,80,6,49,71729,1,17,363,8,0,0,0,1,0,0,729,0,9,81,219,0,62,0,-1,0,0,1,2023,0,0
